UserID,Cuisine
U1001,American
U1002,Mexican
U1003,Mexican
U1004,Bakery
U1004,Breakfast-Brunch
U1004,Japanese
U1004,Contemporary
U1004,Mexican
U1004,Bagels
U1004,Cafe-Coffee_Shop
U1004,Continental-European
U1004,Cafeteria
U1005,American
U1006,Mexican
U1007,Family
U1008,Cafe-Coffee_Shop
U1008,Mexican
U1008,Juice
U1008,Hawaiian
U1008,Hot_Dogs
U1008,Latin_American
U1008,Korean
U1008,American
U1008,Cafeteria
U1008,Italian
U1009,Diner
U1009,Fast_Food
U1009,Family
U1009,Cafe-Coffee_Shop
U1009,Deli-Sandwiches
U1009,Cafeteria
U1009,Mexican
U1010,Mexican
U1011,Mexican
U1012,Latin_American
U1013,Japanese
U1014,Japanese
U1014,Fast_Food
U1015,Mexican
U1016,Cafe-Coffee_Shop
U1016,Contemporary
U1016,Regional
U1016,Fusion
U1016,Japanese
U1016,Portuguese
U1016,American
U1016,Indian-Pakistani
U1016,Eastern_European
U1016,Lebanese
U1016,Moroccan
U1016,Barbecue
U1016,Polynesian
U1016,Polish
U1017,Chinese
U1018,Mexican
U1019,Family
U1020,Mexican
U1021,Pizzeria
U1021,Regional
U1021,Chinese
U1021,Burgers
U1022,Mexican
U1023,Mexican
U1025,Mexican
U1026,Mexican
U1028,Mexican
U1029,Mexican
U1030,Mexican
U1031,Mexican
U1032,Mexican
U1033,Mexican
U1034,Mexican
U1035,Family
U1036,Mexican
U1037,Mexican
U1038,Mexican
U1039,Regional
U1040,Pizzeria
U1041,Contemporary
U1042,Mexican
U1043,Latin_American
U1044,Mexican
U1045,Middle_Eastern
U1045,Mexican
U1045,Mongolian
U1045,Moroccan
U1046,Bar
U1047,American
U1050,Mexican
U1051,Mexican
U1052,Bakery
U1053,Mexican
